Date	StartTime	0EID	Box	0000000AID	BodyWeight	SessionLength	FixedRatio	ActiveLick	InactiveLick	Infusion	SaccConc	SADrug	intake	demolick	ObPoke	DmPoke	Day	Note
04/22/2019	9:34:34	oxyWLI100F	12	6FC23AC0054D	180	3600	5	294	269	18	0				oxy_pt100mg_mloxyav_fr5_6h	0	1	0
04/23/2019	10:18:41	oxyWLI100F	12	6FC23AC0054D	182	3600	5	95	54	5	0				oxy_pt100mg_mloxyav_fr5_6h	0	2	0
04/24/2019	9:22:04	oxyWLI100F	12	6FC23AC0054D	185	3600	5	199	55	9	0				oxy_pt100mg_mloxyav_fr5_6h	0	3	0
04/25/2019	9:48:54	oxyWLI100F	12	6FC23AC0054D	188	3600	5	178	122	7	0				oxy_pt100mg_mloxyav_fr5_1h	0	4	0
04/26/2019	15:56:43	oxyWLI100F	12	6FC23AC0054D	194	3600	5	218	39	8	0				oxy_pt100mg_mloxyav_fr5_1h	0	5	0
05/01/19	9:52:51	oxyWLI100F	4	6FC23AC0054D	192	21600	5	963		93	0				oxy_pt100mg_mloxyav_fr5_6h	0	6	0
05/06/19	10:26:12	oxyWLI100F	4	6FC23AC0054D	203	21600	5	1016		97	0				oxy_pt100mg_mloxyav_fr5_6h	0	8	0
05/10/19	9:37:58	oxyWLI100F	4	6FC23AC0054D	209	21600	5	2437		144	0				oxy_pt100mg_mloxyav_fr5_6h	0	7	0
05/15/2019	9:48:47	oxyWLI100F	12	6FC23AC0054D	216	21600	5	1677	137	130	0				oxy_pt100mg_mloxyav_fr5_6h	0	9	0
05/17/2019	9:25:56	oxyWLI100F	12	6FC23AC0054D	217	21600	5	1136	22	126	0				oxy_pt100mg_mloxyav_fr5_6h	0	10	0
05/20/19	9:29:09	oxyWLI100F	12	6FC23AC0054D	219	21600	5	1159	44	90	0				oxy_pt100mg_mloxyav_fr5_6h	0	11	0
05/22/2019	9:53:35	oxyWLI100F	12	6FC23AC0054D	224	21600	5	1130	21	96	0				oxy_pt100mg_mloxyav_fr5_6h	0	12	0
05/24/2019	9:50:53	oxyWLI100F	12	6FC23AC0054D	229	21600	5	1084	69	71	0				oxy_pt100mg_mloxyav_fr5_6h	0	13	0
05/27/2019	9:29:08	oxyWLI100F	12	6FC23AC0054D	225	21600	5	1030	19	85	0				oxy_pt100mg_mloxyav_fr5_6h	0	14	0
05/29/2019	9:29:55	oxyWLI100F	12	6FC23AC0054D	228	21600	5	713	1	71	0				oxy_pt100mg_mloxyav_fr5_6h	0	15	0
04/01/2019	14:44:14	oxyWLI100F	9	6FC23AC088DF	176	3600	5	161	106	15	0				oxy_pt200mg_mloxyav_fr5	209	1	0
04/02/2019	10:31:39	oxyWLI100F	9	6FC23AC088DF	178	3600	5	107	8	7	0				oxy_pt100mg_mloxyav_fr5_1h	48	2	0
04/03/2019	10:52:22	oxyWLI100F	9	6FC23AC088DF	184	3600	5	150	27	16	0				oxy_pt100mg_mloxyav_fr5_1h	51	3	0
04/04/2019	10:57:38	oxyWLI100F	9	6FC23AC088DF	191	3600	5	87	25	9	0				oxy_pt100mg_mloxyav_fr5_1h	336	4	0
04/05/2019	10:35:08	oxyWLI100F	9	6FC23AC088DF	192	3600	5	122	31	9	0				oxy_pt100mg_mloxyav_fr5_1h	165	5	0
04/08/2019	10:18:18	oxyWLI100F	9	6FC23AC088DF	196	21600	5	1023	73	88	0				oxy_pt100mg_mloxyav_fr5_6h	1068	6	0
04/10/2019	10:16:07	oxyWLI100F	9	6FC23AC088DF	192	21600	5	498	18	53	0				oxy_pt100mg_mloxyav_fr5_6h	356	7	0
04/12/2019	9:39:29	oxyWLI100F	9	6FC23AC088DF	199	21600	5	641	23	83	0				oxy_pt100mg_mloxyav_fr5_6h	170	8	0
04/15/2019	10:43:32	oxyWLI100F	9	6FC23AC088DF	206	21600	5	940	36	119	0				oxy_pt100mg_mloxyav_fr5_6h	386	9	0
04/17/2019	9:30:24	oxyWLI100F	9	6FC23AC088DF	218	21600	5	835	56	91	0				oxy_pt100mg_mloxyav_fr5_6h	1508	10	0
04/19/2019	10:22:19	oxyWLI100F	9	6FC23AC088DF	204	21600	5	909	15	85	0				oxy_pt100mg_mloxyav_fr5_6h	234	11	0
04/22/2019	11:01:55	oxyWLI100F	9	6FC23AC088DF	205	21600	5	1097	15	133	0				oxy_pt100mg_mloxyav_fr5_6h	506	12	0
04/26/2019	9:34:43	oxyWLI100F	9	6FC23AC088DF	212	21600	5	919	7	112	0				oxy_pt100mg_mloxyav_fr5_6h	494	13	0
04/29/2019	9:41:04	oxyWLI100F	9	6FC23AC088DF	257	21600	5	1073	39	110	0				oxy_pt100mg_mloxyav_fr5_6h	173	14	0
05/01/19	10:02:34	oxyWLI100F	9	6FC23AC088DF	220	21600	5	1071	16	123	0				oxy_pt100mg_mloxyav_fr5_6h	1280	15	0
