date,Rat_ID,sex,water_deprivation_h,solution,Taste,body weight(g),active licks,inactivelicks, active licks/inactive licks,
2019-06-20,1,f,23,0.0010%,quinine,224,1981,47,42.14893617,
2019-06-20,2,f,23,0.0010%,quinine,224,847,18,47.05555556,
2019-06-20,3,f,23,0.0010%,quinine,227,3326,82,40.56097561,
2019-06-20,4,f,23,0.0100%,saccharine,233,1561,78,20.01282051,
2019-06-20,5,f,23,0.0100%,saccharine,243,6020,49,122.8571429,
2019-06-20,6,f,23,0.0100%,saccharine,245,5280,398,13.26633166,
2019-06-20,7,m,23,0.0010%,quinine,394,3160,48,65.83333333,
2019-06-20,8,m,23,0.0010%,quinine,375,2351,48,48.97916667,
2019-06-20,9,m,23,0.0010%,quinine,409,1739,96,18.11458333,
2019-06-20,10,m,23,0.0100%,saccharine,386,5795,26,222.8846154,
2019-06-20,11,m,23,0.0100%,saccharine,373,4827,28,172.3928571,
2019-06-20,12,m,23,0.0100%,saccharine,349,2455,29,84.65517241,
2019-06-21,1,f,23,0.0025%,quinine,220,2171,9,241.2222222,
2019-06-21,2,f,23,0.0025%,quinine,221,792,34,23.29411765,
2019-06-21,3,f,23,0.0025%,quinine,225,2916,29,100.5517241,
2019-06-21,4,f,23,0.0400%,saccharine,238,1544,39,39.58974359,
2019-06-21,5,f,23,0.0400%,saccharine,244,5885,10,588.5,
2019-06-21,6,f,23,0.0400%,saccharine,244,3383,117,28.91452991,
2019-06-21,7,m,23,0.0025%,quinine,397,3226,8,403.25,
2019-06-21,8,m,23,0.0025%,quinine,369,2082,63,33.04761905,
2019-06-21,9,m,23,0.0025%,quinine,405,2723,48,56.72916667,
2019-06-21,10,m,23,0.0400%,saccharine,387,4528,40,113.2,
2019-06-21,11,m,23,0.0400%,saccharine,368,6194,5,1238.8,
2019-06-21,12,m,23,0.0400%,saccharine,348,1928,10,192.8,
2019-06-22,1,f,23,0.0050%,quinine,221,2616,117,22.35897436,
2019-06-22,2,f,23,0.0050%,quinine,222,1116,34,32.82352941,
2019-06-22,3,f,23,0.0050%,quinine,226,3747,67,55.92537313,
2019-06-22,4,f,23,0.1000%,saccharine,239,1877,39,48.12820513,
2019-06-22,5,f,23,0.1000%,saccharine,242,6665,1,6665,
